-12.1011,-11.4803,1.2168,17201
-11.9495,-11.407,1.26054,17202
-11.58,-11.2318,1.37188,15415
-11.414,-11.1518,1.42005,10391
-10.8891,-10.9062,1.58352,10388
-10.587,-10.7606,1.67111,4395
-10.1503,-10.5576,1.80941,4398
-9.83509,-10.4046,1.89861,4077
-9.38792,-10.1936,2.03567,4074
-9.27241,-10.1363,2.06608,11876
-8.81859,-9.91801,2.19818,5395
-8.50444,-9.75901,2.27406,5390
-8.22761,-9.62321,2.35,9290
-7.933,-9.47659,2.42628,2829
-7.64479,-9.32619,2.48491,2824
-7.22374,-9.10812,2.57467,6009
-7.09793,-9.04017,2.59409,6010
-6.71741,-8.83686,2.65917,10395
-6.32151,-8.61676,2.70053,10392
-6.03388,-8.45902,2.73786,4125
-5.53062,-8.17143,2.76029,4120
-5.39307,-8.09342,2.76881,9698
-4.83352,-7.76573,2.75697,1819
-4.78755,-7.73894,2.75665,1089
-4.43692,-7.52939,2.72538,1086
-4.19224,-7.38315,2.70348,13839
-4.15966,-7.3633,2.69792,13051
-3.59706,-7.02099,2.60621,1603
-3.49055,-6.9553,2.5806,1598
-3.01801,-6.66405,2.46922,1127
-2.83223,-6.54847,2.41267,1128
-2.2605,-6.19254,2.23503,9621
-2.24253,-6.18136,2.22947,7217
-1.70939,-5.8478,2.03406,12434
-1.55256,-5.74962,1.97526,7211
-1.12251,-5.48001,1.80526,7212
-0.758697,-5.25213,1.66691,11370
-0.467961,-5.06995,1.55341,11498
-0.0702492,-4.821,1.41075,12815
0.0954643,-4.71729,1.35239,12816
0.516125,-4.45423,1.21739,9815
0.559458,-4.42715,1.20518,9816
1.05382,-4.11824,1.06722,13571
1.22248,-4.01297,1.0296,6227
1.56878,-3.79681,0.950939,6230
1.97593,-3.5431,0.882119,9810
2.23394,-3.3824,0.84283,3981
2.8861,-2.97758,0.793933,3984
2.9076,-2.96423,0.792021,15081
2.91674,-2.95856,0.791842,15079
3.05496,-2.87288,0.793886,8781
3.63031,-2.51618,0.800448,8778
3.66576,-2.49424,0.8017,5177
3.85299,-2.37895,0.824309,5174
4.36105,-2.06601,0.883085,8417
4.48108,-1.99254,0.910664,8418
4.98126,-1.6859,1.01603,13320
5.46021,-1.39521,1.16384,13319
5.48778,-1.3785,1.17276,6693
5.52776,-1.3545,1.18867,3967
6.03667,-1.04794,1.37982,2249
6.48016,-0.784636,1.58059,2246
6.555,-0.740269,1.61504,1853
6.60348,-0.711962,1.64063,1848
7.07149,-0.436624,1.87359,893
7.38255,-0.257278,2.05006,894
7.65296,-0.0995164,2.19361,13448
8.16328,0.192178,2.49313,7561
8.27089,0.25484,2.55134,7558
8.71557,0.509,2.80996,12035
8.86562,0.594907,2.89665,8569
8.90252,0.616012,2.91806,8564
9.3599,0.881469,3.16866,14486
9.67172,1.06664,3.32439,15853
9.91642,1.21101,3.44983,2429
10.2836,1.43475,3.6146,2432
10.57,1.61148,3.73584,9726
10.9133,1.83061,3.85828,7701
11.2565,2.05376,3.96867,7702
11.4378,2.1775,4.01,14713
11.8808,2.48013,4.1104,12775
11.9509,2.52861,4.12451,3299
11.981,2.5499,4.1291,3300
12.5418,2.95579,4.1844,845
12.6268,3.01895,4.18778,840
12.9749,3.284,4.18278,627
13.388,3.60616,4.15625,630
13.4946,3.68976,4.14805,2686
13.6149,3.78702,4.13027,3134
13.9856,4.09131,4.06239,8942
14.3765,4.4215,3.96583,12947
14.4715,4.50245,3.94049,6185
14.5525,4.57318,3.9139,235
14.8892,4.87184,3.79106,238
15.1546,5.11441,3.67608,7081
15.41,5.34981,3.56044,6813
15.5658,5.49725,3.47997,6814
15.8684,5.78834,3.31123,11115
15.9125,5.83164,3.28449,11116
16.1847,6.10363,3.10676,10483
16.4525,6.37633,2.91932,10479
16.6338,6.56451,2.78402,10457
16.8619,6.80601,2.60275,7099
17.0937,7.05243,2.41636,5679
17.3191,7.29651,2.2246,5217
17.5241,7.52263,2.04077,5214
17.6685,7.68233,1.9104,3651
17.8823,7.91996,1.71482,3652
18.2084,8.28263,1.41598,4524
18.2797,8.36196,1.35043,2081
18.3729,8.46516,1.26615,2082
18.7417,8.88105,0.915948,13256
19.0072,9.17504,0.675059,16331
19.1415,9.32294,0.554977,16332
